,entmun,xpop16,ypop16,ptot15cum,xpop16m3,xpop16m2,xpop16m1,xpop160,xpop161,xpop162,xpop163,ypop16m3,ypop16m2,ypop16m1,ypop160,ypop161,ypop162,ypop163,cum16pm3,cum16pm2,cum16pm1,cum16p0,cum16p1,cum16p2,cum16p3
266,9003,14.265157320600327,-1.235855785206741,84269552,0.9201954397394136,0.9201954397394136,0.9201954397394136,0.9210097719869706,0.9214169381107492,0.9214169381107492,0.9214169381107492,0.06677524429967427,0.0741042345276873,0.07858306188925081,0.08713355048859935,0.09731270358306189,0.11685667752442996,0.14372964169381108,0.9849348534201955,0.9849348534201955,0.9849348534201955,0.9849348534201955,0.9853420195439739,0.9853420195439739,0.9853420195439739
267,9004,12.097623699637984,-1.0194972006573555,57039443,0.9030944625407166,0.9030944625407166,0.9030944625407166,0.9039087947882736,0.9043159609120521,0.9043159609120521,0.9047231270358306,0.10097719869706841,0.127442996742671,0.15065146579804561,0.1771172638436482,0.20195439739413681,0.23330618892508143,0.25936482084690554,0.9535830618892508,0.9535830618892508,0.9535830618892508,0.9535830618892508,0.9539902280130294,0.9539902280130294,0.9539902280130294
268,9005,12.301720301946535,-1.077368895620179,107006041,0.9043159609120521,0.9043159609120521,0.9047231270358306,0.9051302931596091,0.9063517915309446,0.9067589576547231,0.9075732899022801,0.08754071661237785,0.0989413680781759,0.12092833876221498,0.1465798045602606,0.17223127035830618,0.1978827361563518,0.2267915309446254,0.9963355048859935,0.9963355048859935,0.9963355048859935,0.9963355048859935,0.996742671009772,0.996742671009772,0.996742671009772
269,9006,10.046981629356067,-1.1329686753351833,70253900,0.881514657980456,0.881514657980456,0.883957654723127,0.8843648208469055,0.8851791530944625,0.885586319218241,0.885586319218241,0.07939739413680781,0.08754071661237785,0.09771986970684039,0.11848534201954397,0.1453583061889251,0.16856677524429967,0.19543973941368079,0.9731270358306189,0.9731270358306189,0.9731270358306189,0.9731270358306189,0.9735342019543974,0.9735342019543974,0.9735342019543974
270,9007,13.517865860328394,-1.2063868903171033,119491642,0.9136807817589576,0.9144951140065146,0.9149022801302932,0.9161237785016286,0.9169381107491856,0.9177524429967426,0.9181596091205212,0.07003257328990228,0.07695439739413681,0.08346905537459283,0.09161237785016287,0.10667752442996743,0.13192182410423453,0.15757328990228012,0.9995928338762216,0.9995928338762216,0.9995928338762216,0.9995928338762216,1.0,1.0,1.0
271,9008,8.510360223667146,-1.1187487088660388,60792438,0.8570846905537459,0.8587133550488599,0.8591205211726385,0.8599348534201955,0.8611563517915309,0.862785016286645,0.8640065146579805,0.08224755700325732,0.08835504885993485,0.10138436482084691,0.1278501628664495,0.15105863192182412,0.1779315960912052,0.20236156351791532,0.9605048859934854,0.9605048859934854,0.9605048859934854,0.9605048859934854,0.9609120521172638,0.9609120521172638,0.9609120521172638
272,9009,5.35159118809092,-1.0888032563105416,48170624,0.8118892508143323,0.8118892508143323,0.8122964169381107,0.8139250814332247,0.8151465798045603,0.8159609120521173,0.8163680781758957,0.08672638436482084,0.09486970684039088,0.11563517915309446,0.14128664495114007,0.16612377850162866,0.19258957654723127,0.21946254071661236,0.9315960912052117,0.9315960912052117,0.9315960912052117,0.9315960912052117,0.9320032573289903,0.9320032573289903,0.9320032573289903
273,9010,10.481077211795048,-1.133258664439465,92443059,0.8868078175895765,0.887214983713355,0.8880293159609121,0.8880293159609121,0.8888436482084691,0.8904723127035831,0.8904723127035831,0.07939739413680781,0.08754071661237785,0.09771986970684039,0.11807817589576547,0.1453583061889251,0.16856677524429967,0.19543973941368079,0.9898208469055375,0.9898208469055375,0.9898208469055375,0.9898208469055375,0.990228013029316,0.990228013029316,0.990228013029316
274,9011,10.02543634563682,-1.0602838988423873,69132792,0.881514657980456,0.881514657980456,0.8827361563517915,0.883957654723127,0.884771986970684,0.8851791530944625,0.885586319218241,0.08998371335504886,0.10504885993485343,0.12947882736156352,0.15553745928338764,0.18363192182410423,0.20887622149837134,0.23900651465798045,0.9719055374592834,0.9719055374592834,0.9719055374592834,0.9719055374592834,0.9723127035830619,0.9723127035830619,0.9723127035830619
275,9012,14.257916789729528,-1.250949108658625,87521891,0.9201954397394136,0.9201954397394136,0.9201954397394136,0.9206026058631922,0.9214169381107492,0.9214169381107492,0.9214169381107492,0.06555374592833876,0.07084690553745929,0.07695439739413681,0.08387622149837133,0.09242671009771987,0.10912052117263844,0.13517915309446255,0.9869706840390879,0.9869706840390879,0.9869706840390879,0.9869706840390879,0.9873778501628665,0.9873778501628665,0.9873778501628665
