,firmgrowthregpred1620
302,0.17028925881499393
303,0.2771886676882055
304,0.10894004935704463
305,0.09662227495587258
306,0.10478879799657886
307,0.09593965720704496
308,0.11463115580695381
309,0.09740109329183019
310,0.09842882085559784
311,0.10106753222966841
312,0.24529666201795491
313,0.099608445726413
314,0.11020258356205083
315,0.12861815092954626
316,0.1527992677247581
317,0.10068026031375242
318,0.1719326637892178
319,0.1872478546901065
320,0.2581752820541666
321,0.3418384444621806
322,0.42376396616714157
323,0.24170369570896458
324,0.36681351298480214
325,0.09594561509141201
326,0.5097339913779457
327,0.20212389671527736
328,0.2793273620787599
329,0.13289612256288216
330,0.4655360667337253
331,0.17575905166715294
332,0.12684684322281797
333,0.42064216975550694
334,0.48297307636186754
335,0.15073742929682116
336,0.5663507969963841
337,0.20496162539166438
338,0.18504227267191503
339,0.7429071858911634
340,0.28493105279355585
341,0.15690290905959794
342,0.4301646112605806
343,0.12448863279292746
344,0.6695258473255221
345,0.22928366502830944
346,0.4323576329375283
347,0.4208314472008034
348,0.1905824283241728
349,0.29366413175986317
350,0.5203715477733443
351,0.4333448432767718
352,0.3919495267866823
353,0.09623955367466262
354,0.28825540808927214
355,0.11614052903003658
356,0.39658406284993786
357,0.1314184791610337
358,0.19658624498140198
359,0.10550950293357379
360,0.31401452678665087
361,0.40678179475817344
362,0.1272625782520778
363,0.31038940561710243
364,0.10477334221557799
365,0.24507002003513362
366,0.7294417343380534
367,0.122522519187842
368,0.1473151876598508
369,0.10846772320699341
370,0.10309583278302145
371,0.10440963556680483
372,0.18206022739825453
373,0.1059887302337422
374,0.09602601935110608
375,0.11540231308862198
376,0.25564685530676784
377,0.14445257821583066
378,0.11746461214103276
379,0.08571226330339494
380,0.13251962539140275
381,0.10552761957271525
382,0.10720678484662012
383,0.11426116123529076
384,0.12976472684688345
385,0.10409392013808591
386,0.18214834085484327
387,0.17713314020303184
388,0.17671356871438568
389,0.10422469517073409
390,0.10650799798928573
391,0.10362223541353811
392,0.07570870419579048
393,0.3462074568499087
394,0.46724232306753943
395,0.1597286685267025
396,0.09712113856757146
397,0.14407468695213876
398,0.13886905859825296
399,0.21188888268739556
400,0.4469025688046294
401,0.1180933180789731
402,0.10225576696253767
403,0.4352884735916087
404,0.13195427941160817
405,0.19041883870211976
406,0.10999609960720237
407,0.1371675092441472
408,0.10434326397900753
409,0.11994156466727655
410,0.1762002179549454
411,0.34679895004762407
412,0.10293240885214085
413,0.1599039039791947
414,0.11865234953708186
415,0.28613346546186547
416,0.20695223209784827
417,0.209557107631582
418,0.14897742477629433
419,0.14540283242912747
420,0.3808156107214227
421,0.14062519002567456
422,0.27242455729240544
423,0.2165432146897247
424,0.1506249460833662
425,0.10998819259489626
426,0.22059926319437836
427,0.138198830660003
428,0.10063933556759935
429,0.10848329101179953
430,0.10367369993776825
431,0.3513099776239911
432,0.16739287967906283
433,0.14285836815385888
434,0.10592726151159718
435,0.10525306858426942
436,0.15922134847089978
437,0.10400386188722298
438,0.10113695637399518
439,0.1365275239262783
440,0.22633799440449542
441,0.13133916117740885
442,0.16301568984943052
443,0.10423433000178899
444,0.10721249004992044
445,0.10457745298822584
446,0.10740042314679143
447,0.10998412491857315
448,0.15036940314034689
449,0.31632187062170797
450,0.09906258616711441
451,0.16356376858215527
452,0.10738472602747802
453,0.10113190647120546
454,0.23047831510139954
455,0.10521414021506303
456,0.27060823562002606
457,0.10689504896547909
458,0.15437650308059767
459,0.21339878415015914
460,0.10760864002948217
461,0.10678856405020373
462,0.20950748138098213
463,0.10755142228087212
464,0.1212642570140438
465,0.10676541882248981
466,0.10214671449904413
467,0.1520342455642663
468,0.10237302712713699
469,0.2157708675819096
470,0.10832643740425665
471,0.11427106318475713
472,0.1004774047231401
473,0.11247759836928393
474,0.36540444746994966
475,0.2121874797318237
476,0.3337446437966199
477,0.13107349649725591
478,0.13597970485863906
479,0.09441865690416669
480,0.10849555596837863
481,0.10714742682124245
482,0.10161047631024016
483,0.10738657782429631
484,0.10697243732041169
485,0.1608388022000099
486,0.10403532341780157
487,0.24751588233420432
488,0.12656823986018959
489,0.10262762212727455
490,0.10198861052715806
491,0.10201988917697123
492,0.1935750457336108
493,0.10394611704132573
494,0.6096769570094945
495,0.10486945481561002
496,0.18060657484035655
497,0.5102137323902921
498,0.1851674530179951
499,0.1075581474649869
500,0.17498346728581707
501,0.10277856179147898
502,0.19703428713099105
503,0.11533912411327983
504,0.11620636490215751
505,0.17389251307208967
506,0.103821389762873
507,0.326153667278613
508,0.11623964967446694
509,0.3310397572533576
510,0.10061913575596125
511,0.12079393406933747
512,0.15845967257908594
513,0.16760179760982755
514,0.10033790397379871
515,0.4817924755436923
516,0.15845558298778284
517,0.10511794017353575
518,0.11633703067290632
519,0.13273873491670465
520,0.22555522716982526
521,0.1632813397659349
522,0.39548117225749385
523,0.5201636461049133
524,0.10234229741366903
525,0.09908843538666003
526,0.10908325226440305
527,0.2283261835021252
528,0.16711246000882063
529,0.19710427414133957
530,0.21521590277373123
531,0.15337293523821388
532,0.1619326619657833
533,0.1669250001232972
534,0.10041488656661642
535,0.12261049065561329
536,0.2891684410143553
537,0.10514169611892189
538,0.3396491201857548
539,0.15365261703823488
540,0.10809045942892886
541,0.09781337609334838
542,0.09965270290786735
543,0.2839970545172961
544,0.12044262435106397
545,0.30541469995337944
546,0.17935200748312824
547,0.1322253808748801
548,0.30749127845970786
549,0.09478793765804382
550,0.103311223998762
551,0.1585707340413056
552,0.21103528210306982
553,0.3923123844994754
554,0.1343656927564517
555,0.12496361351342831
556,0.11187773172611107
557,0.10249706562473695
558,0.09738926873971669
