,entmun,x,y,z,xm3,xm2,xm1,x0,x1,x2,x3,ym3,ym2,ym1,y0,y1,y2,y3,zm3,zm2,zm1,z0,z1,z2,z3
2310,31020,0.05228951430697133,0.3679058865889909,0.17782890213243419,0.0,0.0,0.00040716612377850165,0.3811074918566775,0.6754885993485342,0.8045602605863192,0.867671009771987,0.04030944625407166,0.15513029315960913,0.3293973941368078,0.5732899022801303,0.8497557003257329,0.9788273615635179,0.9828990228013029,0.003257328990228013,0.039902280130293157,0.15838762214983712,0.44869706840390877,0.8945439739413681,0.9503257328990228,0.9674267100977199
2311,31021,0.044744236686771,0.3788863095320707,0.18306359495322244,0.0,0.0,0.0,0.31840390879478825,0.6461726384364821,0.7935667752442996,0.8607491856677525,0.059039087947882735,0.18729641693811075,0.380700325732899,0.628257328990228,0.9177524429967426,0.9804560260586319,0.9849348534201955,0.004071661237785016,0.05211726384364821,0.18566775244299674,0.48452768729641693,0.9079804560260586,0.9523615635179153,0.9682410423452769
2312,31022,0.04095426222271514,0.3858680086401958,0.18939470695302238,0.0,0.0,0.0,0.28216612377850164,0.6270358306188925,0.7850162866449512,0.8570846905537459,0.07206840390879479,0.21172638436482086,0.4144951140065147,0.6661237785016286,0.9466612377850163,0.9812703583061889,0.9853420195439739,0.0061074918566775245,0.06066775244299674,0.20887622149837134,0.5435667752442996,0.9181596091205212,0.9548045602605864,0.9698697068403909
2313,31023,0.06545769750654956,0.3494463516516655,0.16496111931911586,0.0,0.0,0.012622149837133551,0.4837133550488599,0.7182410423452769,0.8241042345276873,0.8794788273615635,0.025244299674267102,0.0985342019543974,0.26017915309446255,0.4767915309446254,0.738599348534202,0.9755700325732899,0.9816775244299675,0.00040716612377850165,0.023208469055374593,0.10952768729641693,0.3566775244299674,0.7968241042345277,0.9425895765472313,0.9621335504885994
2314,31024,0.062370487314163364,0.34989713929220734,0.16663548954719046,0.0,0.0,0.0028501628664495114,0.46376221498371334,0.7105048859934854,0.8188110749185668,0.8778501628664495,0.025244299674267102,0.0997557003257329,0.26180781758957655,0.4784201954397394,0.74185667752443,0.9759771986970684,0.9816775244299675,0.0008143322475570033,0.026058631921824105,0.11441368078175895,0.36685667752442996,0.8167752442996743,0.9434039087947883,0.9637622149837134
2315,31025,0.059087422499285835,0.34860282835794754,0.1668635364673898,0.0,0.0,0.00040716612377850165,0.43363192182410426,0.7007328990228013,0.8131107491856677,0.8745928338762216,0.025244299674267102,0.09731270358306189,0.25773615635179153,0.4735342019543974,0.7320846905537459,0.9735342019543974,0.9816775244299675,0.0016286644951140066,0.026465798045602607,0.11482084690553745,0.36807817589576547,0.8196254071661238,0.9434039087947883,0.9637622149837134
2316,31026,0.06514405823318592,0.35406526539530964,0.17032790281728555,0.0,0.0,0.011807817589576547,0.4804560260586319,0.7170195439739414,0.8241042345276873,0.8794788273615635,0.02687296416938111,0.11278501628664495,0.2764657980456026,0.5012214983713354,0.7654723127035831,0.9767915309446255,0.9820846905537459,0.002035830618892508,0.029723127035830618,0.1245928338762215,0.3925081433224756,0.8546416938110749,0.9450325732899023,0.9641693811074918
2317,31027,0.09648317082664015,0.2893075181586022,0.21659553309800958,0.0,0.0,0.3330618892508143,0.6526872964169381,0.7972312703583062,0.8623778501628665,0.9043159609120521,0.009364820846905538,0.021986970684039087,0.07736156351791532,0.22394136807817588,0.42793159609120524,0.6856677524429967,0.9572475570032574,0.026058631921824105,0.11400651465798045,0.36685667752442996,0.8159609120521173,0.9434039087947883,0.9637622149837134,0.9735342019543974
2318,31028,0.09610517943410289,0.20951199723901567,0.5470045782999791,0.0,0.0,0.3298045602605863,0.6502442996742671,0.7960097719869706,0.8615635179153095,0.9043159609120521,0.0016286644951140066,0.005293159609120521,0.012622149837133551,0.030944625407166124,0.1270358306188925,0.2968241042345277,0.5289087947882736,0.9780130293159609,0.9824918566775245,0.9853420195439739,0.990228013029316,0.9922638436482085,0.9947068403908795,0.995928338762215
2319,31029,0.07117589790892424,0.32787435270580534,0.17665783599452617,0.0,0.0,0.054967426710097717,0.5211726384364821,0.7341205211726385,0.8326547231270358,0.884771986970684,0.018729641693811076,0.05822475570032573,0.18281758957654723,0.378257328990228,0.6213355048859935,0.9132736156351792,0.9800488599348535,0.003257328990228013,0.03868078175895766,0.15350162866449513,0.4385179153094462,0.8888436482084691,0.9491042345276873,0.9670195439739414
