,entmun,firmgrowthclasspred,popgrowthclasspred,firmgrowthclasspred1620,popgrowthclasspred1620,y1,y2,resfirms,respop
2024,29006,1,1,1,1,1,1,0,0
2025,29007,1,1,1,1,1,1,0,0
2026,29008,0,1,1,1,0,1,0,0
2027,29009,0,0,0,0,1,0,-1,0
2028,29010,1,1,1,1,1,1,0,0
2029,29011,0,1,0,0,0,1,0,0
2030,29012,0,0,0,1,0,0,0,0
2031,29013,1,1,1,1,1,1,0,0
2032,29014,0,1,1,1,0,1,0,0
2033,29015,1,1,1,1,1,1,0,0
2034,29016,0,1,1,1,1,0,-1,1
2035,29017,0,1,1,1,0,1,0,0
2036,29018,1,1,1,1,1,1,0,0
2037,29019,1,1,1,1,1,1,0,0
2038,29020,0,1,1,1,1,1,-1,0
2039,29021,1,1,1,1,1,1,0,0
2040,29022,0,0,0,1,0,0,0,0
2041,29023,1,1,1,1,1,1,0,0
2042,29024,1,1,1,1,1,1,0,0
2043,29025,1,1,1,1,0,1,1,0
2044,29026,1,1,1,1,1,1,0,0
2045,29027,1,1,1,1,1,1,0,0
2046,29028,1,1,1,1,0,1,1,0
2047,29029,0,1,0,1,0,1,0,0
2048,29030,0,1,1,1,1,1,-1,0
2049,29031,1,1,1,1,0,1,1,0
2050,29032,0,1,1,1,0,1,0,0
2051,29033,1,1,1,1,1,1,0,0
2052,29034,1,1,1,1,1,1,0,0
2053,29035,0,0,1,1,0,0,0,0
2054,29036,1,1,1,1,0,1,1,0
2055,29037,0,1,1,1,0,1,0,0
2056,29038,1,1,1,1,1,1,0,0
2057,29039,1,1,1,1,1,1,0,0
2058,29040,0,0,0,1,1,0,-1,0
2059,29041,1,1,1,1,0,1,1,0
2060,29042,1,1,1,1,1,1,0,0
2061,29043,1,1,1,1,1,1,0,0
2062,29044,1,1,1,1,1,1,0,0
2063,29045,0,1,0,1,1,1,-1,0
2064,29046,0,1,0,1,1,1,-1,0
2065,29047,0,1,0,0,1,1,-1,0
2066,29048,1,1,1,1,1,1,0,0
2067,29049,0,1,0,1,1,1,-1,0
2068,29050,1,1,1,1,0,1,1,0
2069,29051,0,1,0,1,0,1,0,0
2070,29052,0,0,0,1,0,0,0,0
2071,29053,0,1,1,1,0,1,0,0
2072,29054,0,1,0,1,0,1,0,0
2073,29055,0,1,0,0,0,1,0,0
2074,29056,0,1,1,1,1,1,-1,0
2075,29057,0,0,0,1,0,0,0,0
2076,29058,0,1,1,1,0,1,0,0
2077,29059,0,1,1,1,1,1,-1,0
