,entmun,xpop,ypop,ptot10cum,xpopm3,xpopm2,xpopm1,xpop0,xpop1,xpop2,xpop3,ypopm3,ypopm2,ypopm1,ypop0,ypop1,ypop2,ypop3,cumpm3,cumpm2,cumpm1,cump0,cump1,cump2,cump3
1838,24027,0.15302563102865413,0.5421867033944643,0.04019470261854913,0.0012214983713355048,0.2495928338762215,0.5203583061889251,0.6974755700325733,0.7947882736156352,0.8526058631921825,0.8998371335504886,0.3517915309446254,0.5932410423452769,0.7675081433224755,0.8745928338762216,0.9429967426710097,0.9759771986970684,0.9930781758957655,0.0,0.0,0.0,0.44014657980456023,0.6042345276872965,0.7076547231270358,0.7801302931596091
1839,24028,0.22449519828512077,0.4001939712165074,0.7882861612720609,0.376628664495114,0.6070846905537459,0.748371335504886,0.8261400651465798,0.8794788273615635,0.9120521172638436,0.9360749185667753,0.03745928338762215,0.03868078175895766,0.06718241042345277,0.3945439739413681,0.625,0.7931596091205212,0.8888436482084691,0.9796416938110749,0.9841205211726385,0.987785016286645,0.991042345276873,0.9938925081433225,0.9963355048859935,0.9979641693811075
1840,24029,0.1252737312136055,0.3827752583280725,0.10930918278569346,0.0,0.10423452768729642,0.3811074918566775,0.6099348534201955,0.749185667752443,0.8273615635179153,0.879885993485342,0.03745928338762215,0.03745928338762215,0.05171009771986971,0.28745928338762217,0.5586319218241043,0.7422638436482085,0.8595276872964169,0.0,0.22353420195439738,0.5146579804560261,0.6482084690553745,0.7381921824104235,0.8025244299674267,0.8505700325732899
1841,24030,0.06791676187588105,0.5097560726563215,0.016951898379906894,0.0,0.0,0.059039087947882735,0.3342833876221498,0.5850977198697068,0.7349348534201955,0.8167752442996743,0.09201954397394137,0.4527687296416938,0.6600162866449512,0.8118892508143323,0.9022801302931596,0.9580618892508144,0.9857491856677525,0.0,0.0,0.0,0.3000814332247557,0.5394951140065146,0.6644951140065146,0.7495928338762216
1842,24031,0.02742998499591495,0.43370691232604563,0.05010819062326567,0.0,0.0,0.0,0.11604234527687296,0.3953583061889251,0.6180781758957655,0.752442996742671,0.03745928338762215,0.05252442996742671,0.2931596091205212,0.5631107491856677,0.7455211726384365,0.8603420195439739,0.9303745928338762,0.0,0.0,0.014250814332247556,0.4812703583061889,0.6278501628664495,0.7239413680781759,0.7919381107491856
1843,24032,0.07224088548346637,0.46179095198131376,0.20406647192725388,0.0,0.0,0.08835504885993485,0.35993485342019543,0.5997557003257329,0.7438925081433225,0.8236970684039088,0.04315960912052117,0.1005700325732899,0.46539087947882735,0.6669381107491856,0.8159609120521173,0.9055374592833876,0.9609120521172638,0.4963355048859935,0.6368078175895765,0.7304560260586319,0.7964169381107492,0.8460912052117264,0.8827361563517915,0.9108306188925082
1844,24033,0.4181333999757385,0.6117202208601378,0.051169244317816893,0.8729641693811075,0.9079804560260586,0.9324104234527687,0.9503257328990228,0.9629478827361564,0.9706840390879479,0.9804560260586319,0.6665309446254072,0.8155537459283387,0.9051302931596091,0.9605048859934854,0.9861563517915309,0.9947068403908795,0.997557003257329,0.0,0.0,0.07043973941368079,0.48534201954397393,0.6302931596091205,0.7255700325732899,0.7931596091205212
1845,24034,0.22229372586545815,0.3854755764946543,0.06874686127017816,0.36074918566775244,0.6001628664495114,0.7438925081433225,0.8236970684039088,0.8770358306188925,0.9104234527687296,0.9352605863192183,0.03745928338762215,0.03745928338762215,0.05374592833876222,0.30456026058631924,0.5704397394136808,0.751628664495114,0.864413680781759,0.0,0.0,0.31473941368078173,0.5447882736156352,0.6681596091205212,0.7520358306188925,0.8127035830618893
1846,24035,0.19264243688259033,0.39605564934611664,0.5389939035368264,0.19258957654723127,0.4727198697068404,0.6706026058631922,0.7785016286644951,0.8436482084690554,0.8937296416938111,0.9214169381107492,0.03745928338762215,0.038273615635179156,0.061074918566775244,0.3713355048859935,0.6103420195439739,0.7805374592833876,0.8811074918566775,0.9263029315960912,0.9438110749185668,0.9572475570032574,0.9666123778501629,0.9739413680781759,0.9796416938110749,0.9841205211726385
1847,24036,0.12251587622510143,0.5222121659279166,0.15250732743055917,0.0,0.08916938110749185,0.36278501628664495,0.6009771986970684,0.744299674267101,0.8245114006514658,0.877442996742671,0.19462540716612378,0.5207654723127035,0.7117263843648208,0.8367263843648208,0.9181596091205212,0.9678338762214984,0.9890065146579805,0.11156351791530944,0.49063517915309446,0.6335504885993485,0.7276058631921825,0.7947882736156352,0.8448697068403909,0.8819218241042345
1848,24037,0.12280515390741664,0.3823039627700161,0.35876293753109245,0.0,0.08998371335504886,0.36441368078175895,0.6013843648208469,0.745114006514658,0.8249185667752443,0.877442996742671,0.03745928338762215,0.03745928338762215,0.05130293159609121,0.28338762214983715,0.5570032573289903,0.740228013029316,0.8578990228013029,0.8017100977198697,0.8501628664495114,0.885586319218241,0.9128664495114006,0.9336319218241043,0.9495114006514658,0.9613192182410424
1849,24038,0.08034186539689235,0.3663325362102367,0.07451393000730974,0.0,0.0,0.12988599348534202,0.41245928338762217,0.6311074918566775,0.759771986970684,0.8310260586319218,0.03745928338762215,0.03745928338762215,0.043973941368078175,0.13680781758957655,0.48819218241042345,0.6856677524429967,0.8245114006514658,0.0,0.0,0.3562703583061889,0.5618892508143323,0.6791530944625407,0.759771986970684,0.8188110749185668
1850,24039,0.07167959139713186,0.3772961967083017,0.06405840953930846,0.0,0.0,0.08509771986970684,0.3542345276872964,0.5977198697068404,0.743485342019544,0.8236970684039088,0.03745928338762215,0.03745928338762215,0.0492671009771987,0.24511400651465798,0.5390879478827362,0.7280130293159609,0.8497557003257329,0.0,0.0,0.2748371335504886,0.5301302931596091,0.6583876221498371,0.745114006514658,0.8078175895765473
1851,24040,0.18460206603843,0.44490264750281716,0.19463718119262186,0.15065146579804561,0.43444625407166126,0.6473941368078175,0.7679153094462541,0.8355048859934854,0.8859934853420195,0.9185667752442996,0.037866449511400654,0.06066775244299674,0.36441368078175895,0.6062703583061889,0.7760586319218241,0.8786644951140065,0.9458469055374593,0.4596905537459283,0.6148208469055375,0.7149837133550488,0.7854234527687296,0.8379478827361564,0.876628664495114,0.9059446254071661
1852,24041,0.039872234795826515,0.37680893872244836,0.09821379873646527,0.0,0.0,0.0,0.1779315960912052,0.4592833876221498,0.6596091205211726,0.7748371335504886,0.03745928338762215,0.03745928338762215,0.0492671009771987,0.23941368078175895,0.5378664495114006,0.7276058631921825,0.8485342019543974,0.0,0.0,0.4739413680781759,0.623371335504886,0.7206840390879479,0.7899022801302932,0.8412052117263844
1853,24042,0.15818490322778514,0.40589308890284204,0.0645694369267249,0.011807817589576547,0.2776872964169381,0.5480456026058632,0.7072475570032574,0.8057817589576547,0.8587133550488599,0.9030944625407166,0.03745928338762215,0.039902280130293157,0.07858306188925081,0.43118892508143325,0.6478013029315961,0.8041530944625407,0.8957654723127035,0.0,0.0,0.27931596091205213,0.5317589576547231,0.6596091205211726,0.745928338762215,0.8082247557003257
1854,24043,0.12176416011369443,0.5328003837478212,0.03448700018947547,0.0,0.08591205211726384,0.3554560260586319,0.5977198697068404,0.743485342019544,0.8236970684039088,0.8770358306188925,0.28827361563517917,0.5590390879478827,0.7422638436482085,0.8595276872964169,0.9291530944625407,0.9727198697068404,0.9922638436482085,0.0,0.0,0.0,0.41286644951140067,0.5895765472312704,0.6974755700325733,0.7732084690553745
1855,24044,0.1166361342503285,0.4186128572158969,0.02824029191951018,0.0,0.05415309446254072,0.3241042345276873,0.5798045602605864,0.7308631921824105,0.8159609120521173,0.8713355048859935,0.03745928338762215,0.046009771986970684,0.15920195439739412,0.499185667752443,0.6954397394136808,0.8277687296416938,0.9153094462540716,0.0,0.0,0.0,0.379071661237785,0.5724755700325733,0.6864820846905537,0.7646579804560261
1856,24045,0.07963482609503804,0.4420560184681941,0.06559729569508808,0.0,0.0,0.1278501628664495,0.40757328990228014,0.626628664495114,0.75814332247557,0.8310260586319218,0.037866449511400654,0.05822475570032573,0.3513843648208469,0.5916123778501629,0.7671009771986971,0.874185667752443,0.9429967426710097,0.0,0.0,0.28868078175895767,0.5350162866449512,0.6616449511400652,0.747557003257329,0.8094462540716613
1857,24046,0.2001444291064259,0.4498384855760203,0.07724679199168177,0.23412052117263843,0.5077361563517915,0.6909609120521173,0.7907166123778502,0.8501628664495114,0.8986156351791531,0.9242671009771987,0.03868078175895766,0.06677524429967427,0.3941368078175896,0.6229641693811075,0.7911237785016286,0.8884364820846905,0.9507328990228013,0.0,0.0,0.373371335504886,0.5696254071661238,0.6844462540716613,0.7634364820846905,0.8212540716612378
1858,24047,0.0791167566532006,0.4846016224432031,0.038600660720570244,0.0,0.0,0.1245928338762215,0.40390879478827363,0.625,0.7577361563517915,0.8298045602605864,0.052931596091205214,0.2988599348534202,0.5671824104234527,0.7479641693811075,0.8619706840390879,0.9303745928338762,0.9731270358306189,0.0,0.0,0.0,0.43281758957654726,0.6001628664495114,0.7048045602605864,0.7780944625407166
1859,24048,0.094794147283026,0.4474730835597656,0.016373911422958062,0.0,0.0,0.20928338762214985,0.4828990228013029,0.6775244299674267,0.7825732899022801,0.8464983713355049,0.038273615635179156,0.06311074918566775,0.3811074918566775,0.6164495114006515,0.7854234527687296,0.8827361563517915,0.9470684039087948,0.0,0.0,0.0,0.2951954397394137,0.5374592833876222,0.6632736156351792,0.7487785016286646
1860,24049,0.44271093792896254,0.5929418030128216,0.19429930331158335,0.8937296416938111,0.9214169381107492,0.9442182410423453,0.9584690553745928,0.9674267100977199,0.9759771986970684,0.9824918566775245,0.5969055374592834,0.7703583061889251,0.8762214983713354,0.9434039087947883,0.9767915309446255,0.993485342019544,0.9971498371335505,0.4580618892508143,0.6140065146579805,0.7145765472312704,0.7850162866449512,0.8375407166123778,0.876628664495114,0.9059446254071661
1861,24050,0.0933604813263589,0.4208664921808699,0.23136888478178208,0.0,0.0,0.1986970684039088,0.4767915309446254,0.6734527687296417,0.7797231270358306,0.8444625407166124,0.03745928338762215,0.04682410423452769,0.18363192182410423,0.5101791530944625,0.7068403908794788,0.8346905537459284,0.9169381107491856,0.5810260586319218,0.6921824104234527,0.7691368078175895,0.8253257328990228,0.8672638436482085,0.8990228013029316,0.9234527687296417
1862,24051,0.07548163952689847,0.4096671382199036,0.06834811267171575,0.0,0.0,0.10464169381107492,0.38273615635179153,0.6115635179153095,0.7495928338762216,0.8273615635179153,0.03745928338762215,0.04234527687296417,0.09201954397394137,0.4519543973941368,0.6600162866449512,0.8118892508143323,0.9018729641693811,0.0,0.0,0.3118892508143323,0.5435667752442996,0.6673452768729642,0.7512214983713354,0.8122964169381107
1863,24052,0.06933688184642801,0.6531095335923309,0.04028526984274783,0.0,0.0,0.06962540716612378,0.34039087947882735,0.5907980456026058,0.7398208469055375,0.8188110749185668,0.7980456026058632,0.8929153094462541,0.9523615635179153,0.9824918566775245,0.994299674267101,0.997557003257329,0.9987785016286646,0.0,0.0,0.0,0.44055374592833874,0.6042345276872965,0.7076547231270358,0.7801302931596091
1864,24053,0.06743690793850111,0.3770458022820802,0.17076159032805427,0.0,0.0,0.056596091205211724,0.3302117263843648,0.5826547231270358,0.7328990228013029,0.8163680781758957,0.03745928338762215,0.03745928338762215,0.0492671009771987,0.24307817589576547,0.5382736156351792,0.7276058631921825,0.8493485342019544,0.3302117263843648,0.5508957654723127,0.6718241042345277,0.7544788273615635,0.8147394136807817,0.8595276872964169,0.8929153094462541
1865,24054,0.0971540651695349,0.4234451340154619,0.24623410505824714,0.0,0.0,0.22109120521172637,0.494299674267101,0.6856677524429967,0.7862377850162866,0.8473127035830619,0.03745928338762215,0.04763843648208469,0.20480456026058633,0.5256514657980456,0.7145765472312704,0.8416123778501629,0.9201954397394136,0.6188925081433225,0.7178338762214984,0.7874592833876222,0.8391693811074918,0.8778501628664495,0.9067589576547231,0.9291530944625407
1866,24055,0.03657385230675576,0.40337269163584366,0.1271156569001271,0.0,0.0,0.0,0.15920195439739412,0.44543973941368076,0.6518729641693811,0.7711726384364821,0.03745928338762215,0.039902280130293157,0.0745114006514658,0.41368078175895767,0.6368078175895765,0.7980456026058632,0.8937296416938111,0.0,0.372557003257329,0.5696254071661238,0.6840390879478827,0.7634364820846905,0.8212540716612378,0.864413680781759
1867,24056,0.07814627197939769,0.41399681450166886,0.0722813152935363,0.0,0.0,0.12092833876221498,0.3994299674267101,0.6205211726384365,0.755700325732899,0.8298045602605864,0.03745928338762215,0.04356677524429967,0.11604234527687296,0.4780130293159609,0.6750814332247557,0.8204397394136808,0.9083876221498371,0.0,0.0,0.34120521172638435,0.5553745928338762,0.6750814332247557,0.7569218241042345,0.8163680781758957
1868,24057,0.07242982540511159,0.3789644567919199,0.15989084397320924,0.0,0.0,0.08876221498371335,0.36197068403908794,0.6001628664495114,0.744299674267101,0.8245114006514658,0.03745928338762215,0.03745928338762215,0.0496742671009772,0.25936482084690554,0.5427524429967426,0.7304560260586319,0.8550488599348535,0.23086319218241041,0.5166938110749185,0.6498371335504886,0.7390065146579805,0.8029315960912052,0.8509771986970684,0.886400651465798
