,firmgrowthregpred
179,0.7098659844300492
180,0.1733876403496979
181,0.11140400686292162
182,0.05739824565238342
183,0.06683326349948204
184,0.1842446278867808
185,0.17582574939027756
186,0.37134195351511456
187,0.19318001871838356
188,0.03344008372636073
189,0.14245461216893018
190,0.0952164996562327
191,0.01994291036568028
192,0.07964296183349424
193,0.05983975415669679
194,0.06114651876771664
195,0.03226082673684196
196,0.01972139985880204
197,0.013798669945293595
198,0.06955247447930801
199,0.0965445389470404
200,0.04367975036717062
201,0.08842538512205253
202,0.11102943781730028
203,0.01827506138879157
204,0.0794249533685417
205,0.05324688695982935
206,0.1314857188628115
207,0.10332189455686387
208,0.29572601472783183
209,0.04604918071554143
210,0.0635612831247557
211,0.013071986776301385
212,0.012526698405979132
213,0.016149137480819413
214,0.7601973699745085
215,0.017533480593396877
216,0.7819404128518421
217,0.036090399575979946
218,0.42891555809715154
219,0.013464680084661266
220,0.017781191121564757
221,0.016754455325492447
222,0.053002012972635335
223,0.01344391725660635
224,0.1650042143458977
225,0.029484946957905434
226,0.1281687915258914
227,0.045399362873059255
228,0.15692556386641432
229,0.5803133371544997
230,0.012015327750996223
231,0.033167893782377694
232,0.05843682576625481
233,0.18302592003422577
234,0.7917895549410576
235,0.01920950407875701
236,0.018900591879940812
237,0.11898303510050641
238,0.011536438588171641
239,0.012189946414747943
240,0.013402987888405143
241,0.016019952138462287
242,0.16174756828881917
243,0.03174378349304753
244,0.017541096029410296
245,0.09823632750493763
246,0.012875374794789639
247,0.41490089875758235
248,0.02920995584772902
249,0.1155598963171064
250,0.019466727853793015
251,0.033399513545857545
252,0.0585089961537905
253,0.013013568888962832
254,0.013154158612202751
255,0.009120727799803136
256,0.016391662652712368
257,0.07048490396375443
258,0.01513599264279372
259,0.14652583672752448
260,0.018076539951848273
261,0.012183742029004494
262,0.05730690799042948
263,0.03117630812752129
264,0.014636984485363285
265,0.40695629639850206
266,0.6889134806490347
267,0.674018035534957
268,0.7688558543669164
269,0.45208151918327083
270,0.8641406923309959
271,0.4206516185311443
272,0.3654573998126697
273,0.7585214088631539
274,0.4880687884349673
275,0.6125551986247522
276,0.5525755038085989
277,0.6112626673546083
278,0.5471801505419535
279,0.6268876143968449
280,0.46729125358310075
281,0.14753683638553217
282,0.016188188428098504
283,0.01739282472570798
284,0.16460727912887607
285,0.5719404968699039
286,0.05420086887544702
287,0.5278825758383261
288,0.17177137555200217
289,0.06092749323666616
290,0.017982924646468636
291,0.01354444614706519
292,0.4682212840411025
293,0.11679291452482507
294,0.10329881824509912
295,0.05606131580352973
296,0.0658705653303451
297,0.05806884122005355
